Artist,Title,DiscID
140 ударов в минуту,"Что тебе сказать [бэк,-+]",23676
140 ударов в минуту,Я буду бежать за тобой [-],21335
140 ударов в минуту,Я не отдам тебя никому [-+],00022
140 ударов в минуту,Я скучаю по тебе (Моя малышка)[-],21337
140 ударов в минуту,Я тебя люблю [-],21336
140 ударов в минуту,Я уведу тебя [-],39355
16.10,Ведь мы ещё не одни [-],46815
16.10,Внутри [18+],46814
18PLS,"Восемнадцать плюс [бэк,-+,клип]",00023
2 Brothers on the 4th Floor,"Dreams 1 (Will come alive)[бэк,т2,клип]",33953
2 Brothers on the 4th Floor,"Dreams 2 (Will come alive)(Twenty 4 Seven trance dub)[бэк мини,т2,клип]",33954
2 Brothers on the 4th Floor,"Dreams 3 (Will come alive)[remix,т2,клип]",33955
2 Brothers on the 4th Floor,"Dreams 4 (Will come alive)[т2,клип]",33956
2 Brothers on the 4th Floor,"Dreams 5 (Will come alive)[т2,клип]",33957
2 Unlimited,"No Limit 1 [бэк,клип,CDG]",32418
2 Unlimited,"No Limit 2 [клип,CDG]",34072
2 Unlimited,No Limit 3 [клип],32419
2 Unlimited,"Twilight zone 1 [rave remix,бэк,т2,клип]",37557
2 Unlimited,"Twilight zone 2 [бэк,клип,CDG]",34073
2 Океана,Не смотри вниз [-+],47356
2 самолёта,Подруга подкинула проблем [-+],39356
2+2,Вот увидишь [бэк],39357
2+2,Гюльчинара (Девочка с востока)[бэк],00024
2+2,"День рождения любимой [бэк,-+]",00025
2+2,Леди (Lady)[-],30941
2+2,Опустевший бульвар 1 [-],30942
2+2,Опустевший бульвар 2 [бэк],21917
2+2,Раз два три [бэк],30943
2+2,Стучит по клавишам дождь [-],30944
2+2,Шум дождя [бэк],30945
20Tokens,Вырви моё сердце [-+],54056
20Tokens,Девочка убийца [-+],47357
23-45,"Друг без друга (& 5sta Family)[бэк,клип]",00028
23-45,"Любовь без обмана (& 5sta Family)[-+,клип]",00029
23-45,Ты для меня больше чем космос (& MEdkoff)[-],39358
2hug,Это любовь [iv],54854
2Pac,"California love 1 (& Dr. Dre)[бэк,CDG]",34881
2Pac,"California love 2 (& Dr. Dre)[бэк,CDG]",23677
2Pac,Changes (& Talent)[CDG],34882
2Pac,Dear mama [CDG],34883
2Pac,Do for love (& Williams Eric)[CDG],34884
2Pac,Hit 'em up [CDG],34885
2Pac,How do you want it (& K-Ci & JoJo)[CDG],34886
2Pac,I get around [CDG],34887
2Pac,"One day at a time (& Eminem, Outlawz The)[CDG]",34888
2Pac,Runnin' (Dying to live)(& Notorious B.I.G. The)[CDG],34889
2Pac,So many tears [CDG],34890
2Pac,Thugz mansion [CDG],34891
2Pac,Until the end of time [CDG],34892
2rbina 2rista,Красная шапочка [iv],51293
2rbina 2rista,"Листики [iv,18+]",52505
3 Doors Down,"Away from the sun [бэк,CDG]",14342
3 Doors Down,"Be like that [бэк,CDG]",14343
3 Doors Down,"Behind those eyes [бэк,CDG]",14344
3 Doors Down,"Better life [бэк,CDG]",14345
3 Doors Down,"Citizen soldier [бэк,CDG]",14346
3 Doors Down,"Dangerous game [бэк,CDG]",14347
3 Doors Down,"Duck and run [бэк,CDG]",14348
3 Doors Down,"Going down in flames [бэк,CDG]",14349
3 Doors Down,"Here by me [бэк,CDG]",14350
3 Doors Down,"Here without you [бэк,-+,клип]",14351
3 Doors Down,"It's not my time [бэк,CDG]",14352
3 Doors Down,Kryptonite 1 [CDG],14353
3 Doors Down,"Kryptonite 2 [бэк,CDG]",14354
3 Doors Down,"Landing in London 1 (& Seger Bob)[-+,клип]",14355
3 Doors Down,"Landing in London 2 (& Seger Bob)[бэк,CDG]",14356
3 Doors Down,"Let me be myself [бэк,-+,клип]",14357
3 Doors Down,"Let me go [бэк,CDG]",14358
3 Doors Down,Life of my own [CDG],14359
3 Doors Down,Live for today [CDG],14360
3 Doors Down,"Loser [бэк,CDG]",14361
3 Doors Down,Smack [CDG],14362
